CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
19070573,FRAUD/FORGERY,FRAUD,1600 SHATTUCK AV,2019-12-07 00:01:00,37.878113,-122.269114,Saturday
19066749,NARCOTICS,DRUG VIOLATION,4TH STREET & CAMELIA ST,2019-11-23 17:57:00,37.877196,-122.302986,Saturday
19092389,BURGLARY AUTO,BURGLARY - VEHICLE,1500 SHATTUCK AV,2019-10-26 04:00:00,37.880227,-122.26936,Saturday
19051847,NARCOTICS,DRUG VIOLATION,1700 WARD ST,2019-09-14 14:21:00,37.858392,-122.275421,Saturday
19092619,THEFT FELONY (OVER $950),LARCENY,2400 PRINCE ST,2019-11-23 00:01:00,37.853723,-122.259975,Saturday
19039682,ASSAULT/BATTERY MISD.,ASSAULT,2900 9TH ST,2019-07-20 22:14:00,37.853638,-122.289588,Saturday
19035459,THEFT MISD. (UNDER $950),LARCENY,1700 FOURTH ST,2019-06-29 14:15:00,37.871883,-122.301255,Saturday
19044236,ASSAULT/BATTERY FEL.,ASSAULT,1700 NINTH ST,2019-08-10 23:35:00,37.872992,-122.295801,Saturday
19062343,ASSAULT/BATTERY MISD.,ASSAULT,2300 TELEGRAPH AV,2019-11-02 01:40:00,37.868714,-122.259189,Saturday
19070777,NARCOTICS,DRUG VIOLATION,700 GILMAN ST,2019-12-14 13:30:00,37.878736,-122.304435,Saturday
19057945,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SAN PABLO AV & UNIVERSITY AV,2019-10-12 15:53:00,37.869041,-122.292204,Saturday
19091811,BURGLARY AUTO,BURGLARY - VEHICLE,741 ALLSTON WAY ST,2019-08-31 20:30:00,37.864875,-122.298813,Saturday
19058021,ROBBERY,ROBBERY,2300 COLLEGE AV,2019-10-12 22:50:00,37.868957,-122.254552,Saturday
19057551,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1000 GILMAN ST,2019-10-05 12:15:00,37.88014,-122.297498,Saturday
19091298,BURGLARY AUTO,BURGLARY - VEHICLE,1900 CENTER ST,2019-06-29 23:30:00,37.869685,-122.272804,Saturday
