CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
19050601,ASSAULT/BATTERY MISD.,ASSAULT,HILLEGASS AVENUE &DERBY ST,2019-09-06 15:15:00,,,Friday
19037903,ROBBERY,ROBBERY,2400 DWIGHT WY,2019-07-12 15:45:00,37.864826,-122.260719,Friday
19060736,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2600 TELEGRAPH AV,2019-10-25 19:25:00,37.862927,-122.258784,Friday
19042425,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AV,2019-08-02 20:47:00,37.881957,-122.269551,Friday
19046958,BURGLARY AUTO,BURGLARY - VEHICLE,2000 5TH ST,2019-08-23 12:40:00,37.867271,-122.298682,Friday
19047627,THEFT MISD. (UNDER $950),LARCENY,2700 SEVENTH ST,2019-08-23 12:00:00,37.856088,-122.29274,Friday
19060658,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SHATTUCK AV & ADDISON ST,2019-10-25 13:10:00,37.871167,-122.268285,Friday
19091878,BURGLARY AUTO,BURGLARY - VEHICLE,WARD ST,2019-09-06 16:00:00,,,Friday
19064978,NARCOTICS,DRUG VIOLATION,OREGON STREET & ADELINE ST,2019-11-15 09:48:00,37.857437,-122.268263,Friday
19054779,THEFT FELONY (OVER $950),LARCENY,700 HEINZ AV,2019-09-27 14:30:00,37.852934,-122.294575,Friday
19051685,ROBBERY,ROBBERY,1600 LINCOLN ST,2019-09-13 22:00:00,37.876084,-122.280105,Friday
19091389,THEFT MISD. (UNDER $950),LARCENY,2100 VINE ST,2019-07-05 11:00:00,37.880266,-122.269032,Friday
19063650,DISTURBANCE,DISORDERLY CONDUCT,BANCROFT WY & ELLSWORTH ST,2019-11-08 17:22:00,37.86814,-122.263736,Friday
19046056,SEXUAL ASSAULT FEL.,SEX CRIME,2632 COLLEGE AVE,2019-08-16 23:00:00,37.862608,-122.253598,Friday
19091981,THEFT FELONY (OVER $950),LARCENY,3100 TELEGRAPH AVE,2019-09-20 12:00:00,37.853875,-122.260048,Friday
19053102,VANDALISM,VANDALISM,1100 ALLSTON WY,2019-09-20 06:00:00,37.866528,-122.290227,Friday
19092809,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 SAN PABLO AV,2019-12-13 19:30:00,37.857714,-122.288536,Friday
19046955,BURGLARY AUTO,BURGLARY - VEHICLE,GILMAN STREET & CURTIS ST,2019-08-23 06:30:00,37.881435,-122.289994,Friday
19070669,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,2019-12-13 16:00:00,37.863611,-122.317566,Friday
19045525,NARCOTICS,DRUG VIOLATION,UNIVERSITY AVENUE &2ND ST,2019-08-16 20:06:00,,,Friday
19042535,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1500 GRIZZLY PEAK BL,2019-08-02 15:00:00,37.88222,-122.247955,Friday
19067827,ASSAULT/BATTERY MISD.,ASSAULT,2300 SAN PABLO AV,2019-11-29 15:51:00,37.864385,-122.290697,Friday
19092405,THEFT MISD. (UNDER $950),LARCENY,1900 ALLSTON WAY,2019-11-01 12:40:00,37.868785,-122.272701,Friday
19051514,ASSAULT/BATTERY MISD.,ASSAULT,2900 SACRAMENTO ST,2019-09-13 08:56:00,37.8549,-122.27945,Friday
19091708,THEFT MISD. (UNDER $950),LARCENY,1400 EIGHTH ST,2019-08-16 22:30:00,37.87783,-122.298557,Friday
19047711,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 BANCROFT WY,2019-08-23 15:00:00,37.869312,-122.254314,Friday
19092574,IDENTITY THEFT,FRAUD,1500 LE ROY AV,2019-10-04 09:00:00,37.881776,-122.260421,Friday
19035343,NARCOTICS,DRUG VIOLATION,SAN PABLO AV & MARIN AV,2019-06-28 23:29:00,37.886702,-122.297851,Friday
19046960,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 SOLANO AV,2019-08-23 02:27:00,37.891332,-122.279975,Friday
19037934,THEFT MISD. (UNDER $950),LARCENY,1900 4TH ST,2019-07-12 18:00:00,37.86825,-122.300093,Friday
19051547,DISTURBANCE,DISORDERLY CONDUCT,1900 SHATTUCK AV,2019-09-13 10:30:00,37.873687,-122.268616,Friday
19051562,THEFT MISD. (UNDER $950),LARCENY,1300 PARKER ST,2019-09-13 12:51:00,37.859906,-122.284931,Friday
19049391,VANDALISM,VANDALISM,1500 LINCOLN ST,2019-08-30 11:00:00,37.875796,-122.282477,Friday
19092193,BURGLARY AUTO,BURGLARY - VEHICLE,2100 MILVIA ST,2019-10-11 19:03:00,37.870603,-122.270612,Friday
19056233,ROBBERY,ROBBERY,1400 SHATTUCK AV,2019-10-04 18:32:00,37.881957,-122.269551,Friday
19092609,THEFT MISD. (UNDER $950),LARCENY,1000 JONES ST,2019-11-22 15:00:00,37.875963,-122.296521,Friday
19091735,BURGLARY AUTO,BURGLARY - VEHICLE,OXFORD STREET & ADDISON ST,2019-08-23 16:50:00,37.87146,-122.266052,Friday
19060662,ASSAULT/BATTERY FEL.,ASSAULT,2300 FIFTH ST,2019-10-25 13:14:00,37.86277,-122.297218,Friday
19045699,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3200 CALIFORNIA ST,2019-08-16 22:00:00,37.849732,-122.276144,Friday
19059236,THEFT MISD. (UNDER $950),LARCENY,1200 5TH ST,2019-10-18 18:30:00,37.880756,-122.303056,Friday
19036505,THEFT FELONY (OVER $950),LARCENY,1000 KEITH AV,2019-07-05 11:00:00,37.890366,-122.266998,Friday
19091803,BURGLARY AUTO,BURGLARY - VEHICLE,700 ARLINGTON AVE,2019-08-30 22:05:00,37.897333,-122.276042,Friday
19092186,VANDALISM,VANDALISM,2000 FRANCISCO ST,2019-10-11 09:00:00,37.875391,-122.271141,Friday
19066936,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1300 CURTIS ST,2019-11-22 19:00:00,37.880891,-122.290189,Friday
19040829,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1500 BLAKE ST,2019-07-26 16:00:00,37.86139,-122.280449,Friday
19092018,THEFT MISD. (UNDER $950),LARCENY,2300 TELEGRAPH AV,2019-09-20 17:25:00,37.868714,-122.259189,Friday
19059373,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2105 MARTIN LUTHER KING JR,2019-10-18 20:20:00,37.870234,-122.27287,Friday
19063623,NARCOTICS,DRUG VIOLATION,200 SHATTUCK SQ,2019-11-08 15:18:00,,,Friday
19091477,THEFT MISD. (UNDER $950),LARCENY,WARD STREET & TELEGRAPH AV,2019-07-19 22:00:00,37.860456,-122.259132,Friday
19052476,FRAUD/FORGERY,FRAUD,2000 PARKER ST,2019-08-16 00:00:00,37.861843,-122.269644,Friday
19069098,THEFT MISD. (UNDER $950),LARCENY,1900 CENTER ST,2019-12-06 08:35:00,37.869685,-122.272804,Friday
19091825,THEFT FELONY (OVER $950),LARCENY,3000 TELEGRAPH AVE,2019-08-30 12:15:00,37.855435,-122.259841,Friday
19092049,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2100 ALLSTON WAY,2019-09-13 11:10:00,37.86939,-122.267883,Friday
19052668,SEXUAL ASSAULT FEL.,SEX CRIME,ADELINE STREET & ASHBY AV,2019-08-30 22:00:00,37.854732,-122.26898,Friday
19037201,DISTURBANCE,DISORDERLY CONDUCT,2900 9TH ST,2019-07-05 12:00:00,37.853638,-122.289588,Friday
19091330,VANDALISM,VANDALISM,2000 BLAKE ST,2019-06-28 11:00:00,37.862781,-122.269376,Friday
19057662,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 FOURTH ST,2019-10-11 09:59:00,37.869888,-122.300618,Friday
19063824,BURGLARY AUTO,BURGLARY - VEHICLE,2500 STUART ST,2019-11-08 17:00:00,37.85976,-122.257034,Friday
19091871,BURGLARY AUTO,BURGLARY - VEHICLE,2100 SAN PABLO AV,2019-09-06 23:00:00,37.867501,-122.291709,Friday
19054656,DISTURBANCE,DISORDERLY CONDUCT,SHATTUCK AVENUE &UNIVERISTY AVE,2019-09-27 06:53:00,,,Friday
19062269,BRANDISHING,WEAPONS OFFENSE,1700 UNIVERSITY AV,2019-11-01 19:25:00,37.870948,-122.27733,Friday
19050699,DISTURBANCE,DISORDERLY CONDUCT,2800 BANCROFT WY,2019-08-16 12:00:00,37.869348,-122.250048,Friday
19092531,BURGLARY AUTO,BURGLARY - VEHICLE,2400 PROSPECT ST,2019-11-15 21:00:00,37.867717,-122.249901,Friday
19091375,BURGLARY AUTO,BURGLARY - VEHICLE,2000 SECOND ST,2019-07-12 08:00:00,37.866981,-122.302083,Friday
19092223,BURGLARY AUTO,BURGLARY - VEHICLE,800 BONNIE LN,2019-10-11 19:30:00,,,Friday
19065057,ASSAULT/BATTERY MISD.,ASSAULT,2300 8TH ST,2019-11-15 17:45:00,37.863945,-122.294086,Friday
19092631,BURGLARY AUTO,BURGLARY - VEHICLE,900 VIRGINIA ST,2019-11-22 00:00:00,37.872545,-122.298043,Friday
19066488,NARCOTICS,DRUG VIOLATION,2100 MARTIN LUTHER KING JR,2019-11-22 15:18:00,37.869688,-122.272805,Friday
19042358,DOMESTIC VIOLENCE,FAMILY OFFENSE,ADELINE STREET & ALCATRAZ AV,2019-08-02 16:30:00,37.848752,-122.271331,Friday
19092192,BURGLARY AUTO,BURGLARY - VEHICLE,LINCOLN ST,2019-10-11 13:30:00,,,Friday
19091800,THEFT FELONY (OVER $950),LARCENY,1900 OREGON ST,2019-08-30 15:15:00,37.857054,-122.271393,Friday
19059278,BURGLARY AUTO,BURGLARY - VEHICLE,1900 MILVIA ST,2019-10-18 21:00:00,37.873607,-122.270903,Friday
19092816,THEFT MISD. (UNDER $950),LARCENY,1600 CARLETON ST,2019-12-13 12:00:00,37.859889,-122.278167,Friday
19092199,BURGLARY AUTO,BURGLARY - VEHICLE,2100 SAN PABLO AV,2019-10-11 21:35:00,37.867501,-122.291709,Friday
19036546,NARCOTICS,DRUG VIOLATION,BOLIVAR DRIVE &CHANNING WAY,2019-07-05 19:13:00,,,Friday
19054728,DISTURBANCE,DISORDERLY CONDUCT,1000 DWIGHT WY,2019-09-27 09:00:00,37.860732,-122.291369,Friday
19092604,BURGLARY AUTO,BURGLARY - VEHICLE,1700 BEVERLY PL,2019-11-22 01:45:00,37.885058,-122.278416,Friday
19039413,THEFT MISD. (UNDER $950),LARCENY,2500 SAN PABLO AV,2019-07-19 15:55:00,37.861078,-122.289632,Friday
19070549,IDENTITY THEFT,FRAUD,400 MICHIGAN AV,2019-11-08 12:00:00,37.903026,-122.274123,Friday
19050649,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 MILLER AV,2019-09-06 10:00:00,37.894233,-122.260552,Friday
19051292,DISTURBANCE,DISORDERLY CONDUCT,2600 MARTIN LUTHER KING JR WY,2019-09-06 00:00:00,37.861346,-122.271873,Friday
19091801,THEFT MISD. (UNDER $950),LARCENY,1800 SOLANO AV,2019-08-30 10:30:00,37.891332,-122.279975,Friday
19039428,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1300 2ND ST,2019-07-19 08:00:00,37.878016,-122.305642,Friday
19048805,THEFT MISD. (UNDER $950),LARCENY,2400 PIEDMONT AV,2019-08-30 18:00:00,37.867513,-122.25195,Friday
19070646,BURGLARY AUTO,BURGLARY - VEHICLE,2000 BERKELEY WY,2019-12-13 19:27:00,37.872691,-122.270741,Friday
19091402,VANDALISM,VANDALISM,2500 REGENT ST,2019-07-12 22:15:00,37.865202,-122.257795,Friday
19092536,BURGLARY AUTO,BURGLARY - VEHICLE,2000 DERBY ST,2019-11-15 18:45:00,37.859993,-122.269627,Friday
19056826,THEFT MISD. (UNDER $950),LARCENY,2200 PARKER ST,2019-09-27 09:00:00,37.862491,-122.2646,Friday
19062387,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1700 SPRUCE ST,2019-11-01 20:00:00,37.876921,-122.265567,Friday
19062179,FRAUD/FORGERY,FRAUD,1900 ADDISON ST,2019-11-01 11:41:00,37.870639,-122.272468,Friday
19060781,2ND RESPONSE,NOISE VIOLATION,2300 PIEDMONT AV,2019-10-25 23:06:00,37.869839,-122.252365,Friday
19054916,THEFT MISD. (UNDER $950),LARCENY,2500 SHATTUCK AV,2019-09-27 11:00:00,37.863811,-122.267412,Friday
19062596,THEFT MISD. (UNDER $950),LARCENY,1700 CALIFORNIA ST,2019-11-01 00:00:00,37.875142,-122.280314,Friday
19056895,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1600 MCGEE AVE,2019-10-04 21:00:00,37.877037,-122.278186,Friday
19092395,BURGLARY AUTO,BURGLARY - VEHICLE,1800 UNIVERSITY AV,2019-11-01 01:26:00,37.871246,-122.274991,Friday
19066591,NARCOTICS,DRUG VIOLATION,ASHBY AV & MARTIN LUTHER KING JR WY,2019-11-22 23:17:00,37.854265,-122.271133,Friday
19050252,VANDALISM,VANDALISM,2000 MILVIA ST,2019-09-06 22:42:00,37.871461,-122.270706,Friday
19060648,BURGLARY AUTO,BURGLARY - VEHICLE,2300 DURANT AV,2019-10-25 10:51:00,37.867259,-122.26324,Friday
19038048,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1200 FRANCISCO ST,2019-07-12 20:00:00,37.87304,-122.289659,Friday
19035268,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,GILMAN STREET & SAN PABLO AV,2019-06-28 18:06:00,37.880468,-122.295876,Friday
19038472,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1400 SHATTUCK AV,2019-07-12 00:00:00,37.881957,-122.269551,Friday
19092806,THEFT FELONY (OVER $950),LARCENY,2300 CARLETON ST,2019-12-13 01:00:00,37.861887,-122.262292,Friday
19039445,BURGLARY AUTO,BURGLARY - VEHICLE,200 UNIVERSITY AV,2019-07-19 20:15:00,37.865511,-122.309967,Friday
19042427,FRAUD/FORGERY,FRAUD,1800 ACTON ST,2019-08-02 11:30:00,37.872563,-122.284648,Friday
19092530,BURGLARY AUTO,BURGLARY - VEHICLE,200 MARINA BL,2019-11-15 12:30:00,37.868667,-122.313656,Friday
19092429,THEFT MISD. (UNDER $950),LARCENY,2400 STUART ST,2019-11-01 13:15:00,37.859539,-122.259172,Friday
19040811,VEHICLE STOLEN,MOTOR VEHICLE THEFT,BANCROFT WY & TELEGRAPH AV,2019-07-26 15:00:00,37.868714,-122.259189,Friday
19067343,MISSING ADULT,MISSING PERSON,1900 HEARST AV,2019-11-22 06:00:00,37.873327,-122.273214,Friday
19036605,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2300 OAK ST,2019-07-05 13:30:00,37.88762,-122.265597,Friday
19063680,VEHICLE RECOVERED,RECOVERED VEHICLE,2200 DURANT AV,2019-11-08 20:24:00,37.866969,-122.26553,Friday
19070535,DISTURBANCE,DISORDERLY CONDUCT,2000 UNIVERSITY AV,2019-12-13 11:42:00,37.871828,-122.270516,Friday
19059259,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1900 VINE ST,2019-10-18 17:45:00,37.879679,-122.273638,Friday
19037883,ASSAULT/BATTERY MISD.,ASSAULT,3000 SAN PABLO AV,2019-07-12 13:28:00,37.851919,-122.286667,Friday
19091406,THEFT MISD. (UNDER $950),LARCENY,2900 BENVENUE AV,2019-07-12 23:00:00,37.858156,-122.254397,Friday
19054712,ROBBERY,ROBBERY,1400 FIFTH ST,2019-09-27 16:05:00,37.877393,-122.301918,Friday
19061144,VEHICLE STOLEN,MOTOR VEHICLE THEFT,,2019-10-25 19:00:00,,,Friday
19068748,ROBBERY,ROBBERY,2700 MILVIA ST,2019-11-01 16:00:00,37.860225,-122.269453,Friday
19053099,ASSAULT/BATTERY MISD.,ASSAULT,2000 CENTER ST,2019-09-20 12:10:00,37.869973,-122.270557,Friday
19092063,BURGLARY AUTO,BURGLARY - VEHICLE,2000 BERKELEY WY,2019-09-27 20:50:00,37.872691,-122.270741,Friday
19092700,THEFT MISD. (UNDER $950),LARCENY,2121 BERKELEY,2019-11-29 20:00:00,37.870856,-122.268258,Friday
19035310,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,4TH STREET & HEARST AV,2019-06-28 21:02:00,37.868878,-122.300284,Friday
19044082,DOMESTIC VIOLENCE,FAMILY OFFENSE,2000 PARKER ST,2019-08-09 23:00:00,37.861843,-122.269644,Friday
19091576,THEFT MISD. (UNDER $950),LARCENY,2747 BANCROFT WAY,2019-07-19 15:30:00,37.869557,-122.252494,Friday
19091935,THEFT MISD. (UNDER $950),LARCENY,2700 9TH ST,2019-08-16 14:15:00,37.857336,-122.290797,Friday
19065085,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2300 HEARST AVE,2019-11-15 09:20:00,37.874537,-122.263862,Friday
19063031,THEFT MISD. (UNDER $950),LARCENY,1600 FIFTH ST,2019-11-01 00:01:00,37.873865,-122.300777,Friday
19070742,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1300 ALCATRAZ AV,2019-12-13 19:00:00,37.847442,-122.281175,Friday
19062162,VANDALISM,VANDALISM,2700 TELEGRAPH AV,2019-11-01 00:00:00,37.861387,-122.259001,Friday
19035274,BURGLARY AUTO,BURGLARY - VEHICLE,1300 SAN PABLO AV,2019-06-28 18:44:00,37.880228,-122.295798,Friday
19049964,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1500 SHATTUCK AV,2019-09-06 02:20:00,37.880227,-122.26936,Friday
19063608,THEFT FELONY (OVER $950),LARCENY,1900 MARTIN LUTHER KING JR WY,2019-11-08 06:00:00,37.873085,-122.273187,Friday
19092184,BURGLARY AUTO,BURGLARY - VEHICLE,1500 SHATTUCK AV,2019-10-11 08:20:00,37.880227,-122.26936,Friday
19047027,DISTURBANCE,DISORDERLY CONDUCT,SHATTUCK AV & BLAKE ST,2019-08-23 15:25:00,37.863053,-122.267321,Friday
19066484,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1900 UNIVERSITY AV,2019-11-22 08:30:00,37.871544,-122.272714,Friday
19054676,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,3000 TELEGRAPH AV,2019-09-27 13:50:00,37.855435,-122.259841,Friday
19091979,THEFT MISD. (UNDER $950),LARCENY,1400 UNIVERSITY AV,2019-09-20 08:20:00,37.870054,-122.284263,Friday
19091458,THEFT FELONY (OVER $950),LARCENY,1600 THOUSAND OAKS BLVD,2019-07-19 22:00:00,37.896558,-122.285222,Friday
19091804,VANDALISM,VANDALISM,600 ARLINGTON AV,2019-08-30 21:00:00,37.899107,-122.277273,Friday
19043996,ROBBERY,ROBBERY,3000 SHATTUCK AV,2019-08-09 21:40:00,37.855026,-122.266475,Friday
19063837,VANDALISM,VANDALISM,1500 HARMON ST,2019-11-08 07:15:00,37.848812,-122.278043,Friday
19092349,BURGLARY AUTO,BURGLARY - VEHICLE,2500 SHATTUCK AV,2019-10-25 06:00:00,37.863811,-122.267412,Friday
19051650,ROBBERY,ROBBERY,SHATTUCK AV & KITTREDGE ST,2019-09-13 19:22:00,37.868489,-122.26795,Friday
19092225,VANDALISM,VANDALISM,HEARST AVE,2019-10-11 05:00:00,,,Friday
19048793,BURGLARY AUTO,BURGLARY - VEHICLE,1700 PORTLAND AVE,2019-08-30 23:00:00,37.894629,-122.284061,Friday
19048556,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1700 SAN PABLO AV,2019-08-30 01:01:00,37.87325,-122.293558,Friday
19057782,ASSAULT/BATTERY MISD.,ASSAULT,SAN PABLO AV & UNIVERSITY AV,2019-10-11 21:24:00,37.869041,-122.292204,Friday
19049084,THEFT MISD. (UNDER $950),LARCENY,2800 WEBSTER ST,2019-08-30 00:00:00,37.855935,-122.250579,Friday
19091556,THEFT FELONY (OVER $950),LARCENY,600 VIRGINIA ST,2019-08-02 17:00:00,37.871235,-122.304461,Friday
19092830,BURGLARY AUTO,BURGLARY - VEHICLE,2500 SAN PABLO AV,2019-12-13 19:10:00,37.861078,-122.289632,Friday
19042342,THEFT FELONY (OVER $950),LARCENY,1400 VIRGINIA ST,2019-08-02 13:57:00,37.874575,-122.284796,Friday
19069228,ROBBERY,ROBBERY,1500 FRANCISCO ST,2019-12-06 19:48:00,37.873976,-122.282257,Friday
19064966,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,2019-11-15 08:50:00,37.858116,-122.268002,Friday
19092338,THEFT MISD. (UNDER $950),LARCENY,2400 DURANT AV,2019-10-25 18:25:00,37.867513,-122.26127,Friday
19047144,NARCOTICS,DRUG VIOLATION,SHELLMOUND STREET & 67TH ST,2019-08-23 23:50:00,,,Friday
19092147,THEFT MISD. (UNDER $950),LARCENY,2800 WEBSTER ST,2019-10-04 18:25:00,37.855935,-122.250579,Friday
19040706,BURGLARY AUTO,BURGLARY - VEHICLE,1100 CARLETON ST,2019-07-26 00:00:00,37.858518,-122.288665,Friday
19054968,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 CHANNING WY,2019-09-27 18:00:00,37.867491,-122.254054,Friday
19035163,DISTURBANCE,DISORDERLY CONDUCT,1600 WOOLSEY ST,2019-06-28 03:39:00,37.850899,-122.276174,Friday
19091802,BURGLARY AUTO,BURGLARY - VEHICLE,2400 SHATTUCK AV,2019-08-30 18:45:00,37.865772,-122.267643,Friday
19045589,VEHICLE STOLEN,MOTOR VEHICLE THEFT,3200 ADELINE ST,2019-08-16 23:00:00,37.850385,-122.270897,Friday
19091940,BURGLARY AUTO,BURGLARY - VEHICLE,SAN PABLO AV & BLAKE ST,2019-09-13 21:15:00,37.860265,-122.289213,Friday
19092412,VANDALISM,VANDALISM,2400 DURANT AV,2019-11-01 20:50:00,37.867513,-122.26127,Friday
19041006,SEXUAL ASSAULT MISD.,SEX CRIME,HEARST AV & GRANT ST,2019-07-26 17:45:00,37.873017,-122.275481,Friday
19069306,BURGLARY AUTO,BURGLARY - VEHICLE,MILVIA STREET & BANCROFT WY,2019-12-06 19:00:00,37.867291,-122.270245,Friday
19060770,NARCOTICS,DRUG VIOLATION,2000 UNIVERSITY AV,2019-10-25 22:18:00,37.871828,-122.270516,Friday
19066500,FRAUD/FORGERY,FRAUD,1500 DELAWARE ST,2019-11-01 16:00:00,37.873194,-122.2813,Friday
19062201,NARCOTICS,DRUG VIOLATION,2500 DANA ST,2019-11-01 14:12:00,37.864701,-122.260693,Friday
19067870,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,,2019-11-29 21:40:00,,,Friday
19092089,THEFT MISD. (UNDER $950),LARCENY,2000 ALLSTON WY,2019-09-27 21:45:00,37.869105,-122.270064,Friday
19053464,VEHICLE STOLEN,MOTOR VEHICLE THEFT,900 PARKER ST,2019-09-20 22:00:00,37.858455,-122.293374,Friday
19069185,BURGLARY AUTO,BURGLARY - VEHICLE,2500 PIEDMONT AV,2019-12-06 00:00:00,37.865868,-122.251595,Friday
19057769,THEFT MISD. (UNDER $950),LARCENY,UNIVERSITY AV & GRANT ST,2019-10-11 19:58:00,37.871318,-122.275278,Friday
19092612,BURGLARY AUTO,BURGLARY - VEHICLE,SAN PABLO AV & COWPER ST,2019-11-22 19:15:00,37.86727,-122.291472,Friday
19042345,DISTURBANCE,DISORDERLY CONDUCT,GILMAN STREET &W. FRONTAGE,2019-08-02 14:35:00,,,Friday
19091695,THEFT FELONY (OVER $950),LARCENY,FOURTH ST/BANCROFT WAY ST,2019-07-05 19:00:00,,,Friday
19051611,DISTURBANCE,DISORDERLY CONDUCT,ADELINE STREET & WOOLSEY ST,2019-09-13 16:05:00,37.851953,-122.270182,Friday
19050060,ROBBERY,ROBBERY,2100 CENTER ST,2019-09-06 16:36:00,37.870308,-122.26805,Friday
19053247,VANDALISM,VANDALISM,1900 SAN PABLO AVE,2019-09-20 09:00:00,37.870205,-122.292581,Friday
19060769,BURGLARY AUTO,BURGLARY - VEHICLE,1500 SHATTUCK AV,2019-10-25 22:00:00,37.880227,-122.26936,Friday
19091505,BURGLARY AUTO,BURGLARY - VEHICLE,2100 STUART ST,2019-07-26 11:45:00,37.858525,-122.266906,Friday
19064941,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 FOURTH ST,2019-11-15 05:45:00,37.869888,-122.300618,Friday
19065112,DISTURBANCE,DISORDERLY CONDUCT,2200 SHATTUCK AV,2019-11-15 21:35:00,37.869363,-122.268028,Friday
19055341,BURGLARY AUTO,BURGLARY - VEHICLE,900 POTTER ST,2019-09-27 14:30:00,37.850758,-122.29489,Friday
19037919,THEFT MISD. (UNDER $950),LARCENY,1500 UNIVERSITY AV,2019-07-12 16:45:00,37.870396,-122.281585,Friday
19092154,THEFT FELONY (OVER $950),LARCENY,1800 FOURTH ST,2019-10-04 06:30:00,37.869888,-122.300618,Friday
19069161,NARCOTICS,DRUG VIOLATION,2500 TELEGRAPH AV,2019-12-06 12:57:00,37.864827,-122.258577,Friday
19065864,THEFT MISD. (UNDER $950),LARCENY,2000 UNIVERSITY AV,2019-11-08 16:30:00,37.871828,-122.270516,Friday
19063804,VANDALISM,VANDALISM,100 UNIVERSITY AV,2019-11-08 17:15:00,37.86331,-122.316113,Friday
19057750,DISTURBANCE,DISORDERLY CONDUCT,2ND STREET & HARRISON ST,2019-10-11 18:50:00,37.88024,-122.306387,Friday
19092112,BURGLARY AUTO,BURGLARY - VEHICLE,2100 SAN PABLO AV,2019-09-27 20:00:00,37.867501,-122.291709,Friday
19063582,ROBBERY,ROBBERY,2100 SHATTUCK AV,2019-11-08 12:01:00,37.871167,-122.268285,Friday
19064946,DISTURBANCE,DISORDERLY CONDUCT,2600 TELEGRAPH AV,2019-11-15 07:01:00,37.862927,-122.258784,Friday
19040825,THEFT MISD. (UNDER $950),LARCENY,2200 SHATTUCK AV,2019-07-26 08:00:00,37.869363,-122.268028,Friday
19051524,THEFT MISD. (UNDER $950),LARCENY,GILMAN STREET &GILMAN ST,2019-09-13 09:50:00,,,Friday
19069129,BURGLARY AUTO,BURGLARY - VEHICLE,2100 ALLSTON WY,2019-12-06 11:14:00,37.86939,-122.267883,Friday
19038467,VANDALISM,VANDALISM,2200 MCGEE AV,2019-07-12 16:00:00,37.868108,-122.277222,Friday
19055007,BURGLARY AUTO,BURGLARY - VEHICLE,1900 WOOLSEY ST,2019-09-27 07:00:00,37.851921,-122.269813,Friday
19051691,SEXUAL ASSAULT MISD.,SEX CRIME,PIEDMONT AV & CHANNING WY,2019-09-13 22:29:00,37.86793,-122.251798,Friday
19062111,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1300 NINTH ST,2019-11-01 03:00:00,37.879708,-122.297995,Friday
19045675,VANDALISM,VANDALISM,1700 CEDAR ST,2019-08-16 21:00:00,37.877269,-122.277968,Friday
19065083,ROBBERY,ROBBERY,2300 DURANT AV,2019-11-15 20:08:00,37.867259,-122.26324,Friday
19048724,NARCOTICS,DRUG VIOLATION,ADDISON STREET & 2ND ST,2019-08-30 23:05:00,37.86581,-122.301707,Friday
19050154,2ND RESPONSE,NOISE VIOLATION,2400 PIEDMONT AV,2019-09-06 23:15:00,37.867513,-122.25195,Friday
19092307,BURGLARY AUTO,BURGLARY - VEHICLE,2200 DWIGHT WAY,2019-10-18 10:15:00,37.864238,-122.265263,Friday
19043936,FRAUD/FORGERY,FRAUD,1000 SIERRA ST,2019-08-02 12:00:00,37.888679,-122.280432,Friday
19067360,SEXUAL ASSAULT MISD.,SEX CRIME,1000 UNIVERSITY AVE,2019-11-08 17:00:00,37.868641,-122.29415,Friday
19049920,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1100 UNIVERSITY AV,2019-09-06 01:21:00,37.869067,-122.292043,Friday
